name,latitude,longitude,address,place_id,business_status,types,rating,user_ratings_total,queried_type
IndianOil,23.383481,85.367836,"Ground Floor, Gari, Bariatu, Ranchi",ChIJzQv2hSHj9DkRpTepfoC5NPc,OPERATIONAL,"gas_station, point_of_interest, establishment",3.8,184.0,gas_station
Jio-bp,23.394947,85.263275,"Plot No 503, Khata No 10, Thana No 144, Ratu, Ranchi, Kamre",ChIJgycuOAXe9DkRkLLBZhqKCL0,OPERATIONAL,"gas_station, point_of_interest, establishment",4.1,500.0,gas_station
Bharat Petroleum Petrol Pump,23.3652078,85.24340450000001,"968V+38Q, Ranchi",ChIJ598SZ07e9DkRRP7_Ge2xs3w,OPERATIONAL,"gas_station, point_of_interest, establishment",3.8,189.0,gas_station
Gloria Fuel Centre HP Petrol Pump,23.4206263,85.3171583,"Next to Oraon Complex, Jharkhand State Highway 2, Kanke Rd, Jhirga Toli, Gandhi Nagar, Ranchi",ChIJPXVGz_Tn9DkRd7lpndSuLCM,OPERATIONAL,"gas_station, point_of_interest, establishment",4.1,179.0,gas_station
KANKE SERVICE CENTRE,23.3924479,85.3138877,"98R7+XHV, Kanke Rd, near Petrol Pump, Jawahar Nagar, Hatma, Ranchi",ChIJ3_IIJADh9DkRMNRJI0BxtX0,OPERATIONAL,"gas_station, point_of_interest, establishment",4.7,18.0,gas_station
"Bharat Petroleum, Petrol Pump -Rajhans Filling Station",23.2812737,85.41416520000001,"834010Best EV Charging facility in Ranchi JAMSH Ranchi Jharkhand IN, Rampur",ChIJe4WWLzgd9TkRR4apZQxuzaU,OPERATIONAL,"gas_station, point_of_interest, establishment",4.1,318.0,gas_station
IndianOil,23.3728945,85.27718139999999,"Hehal, Itki Rd, Pahartoli, Bajra, Ranchi",ChIJ2SFgm5zg9DkRAUTvcbJzn7U,OPERATIONAL,"gas_station, point_of_interest, establishment",4.0,557.0,gas_station
Bharat Petroleum Petrol Pump,23.3509229,85.3140719,"88X7+RHJ, Kadru - Kumhartoli Rd, Kadru, Ashok Nagar, Ranchi",ChIJ1yUvKa3h9DkRZNz5votOSUM,OPERATIONAL,"gas_station, point_of_interest, establishment",4.1,778.0,gas_station
IndianOil,23.4482354,85.2738217,"Ground Floor, Kanke, Sukurhutu, Bukru",ChIJexyZEvDn9DkRTjksZW7l7V4,OPERATIONAL,"gas_station, point_of_interest, establishment",4.2,105.0,gas_station
IndianOil,23.4205343,85.2263471,"Ground Floor Bijjulia, Bazar Tand, Ratu, Hurhuri, Ranchi",ChIJj-V9vInd9DkRAPdgDzPXx7g,OPERATIONAL,"gas_station, point_of_interest, establishment",4.6,5.0,gas_station
